state_code,state_name,level,dist_code,name_of_city,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female
01,JAMMU & KASHMIR,71,10,Srinagar (M Corp.),"1,192,792","631,916","560,876","148,178","79,293","68,885","741,441","428,915","312,526",888,869,70.98,77.61,63.52
01,JAMMU & KASHMIR,71,14,Anantnag (M Cl),"108,505","56,030","52,475","18,056","9,633","8,423","71,408","39,591","31,817",937,874,78.95,85.33,72.23
01,JAMMU & KASHMIR,71,21,Jammu (MC),"503,690","265,346","238,344","42,655","23,317","19,338","413,366","225,410","187,956",898,829,89.66,93.13,85.82
02,HIMACHAL PRADESH,71,11,Shimla (M Corp.),"169,758","93,364","76,394","13,646","7,221","6,425","147,799","82,486","65,313",818,890,94.67,95.75,93.35
03,PUNJAB,71,01,Pathankot (M Cl),"148,357","77,833","70,524","13,496","7,488","6,008","119,483","64,673","54,810",906,802,88.60,91.94,84.96
03,PUNJAB,71,01,Batala (M Cl),"156,400","82,459","73,941","14,698","8,028","6,670","121,138","66,101","55,037",897,831,85.49,88.81,81.81
03,PUNJAB,7,02,Kapurthala (M Cl),"101,654","55,485","46,169","9,706","5,162","4,544","78,914","44,399","34,515",832,880,85.82,88.23,82.92
03,PUNJAB,71,03,Jalandhar (M Corp.),"862,196","458,015","404,181","83,669","44,850","38,819","665,625","363,500","302,125",882,866,85.50,87.98,82.69
03,PUNJAB,7,04,Hoshiarpur (M Cl),"168,443","88,290","80,153","16,836","9,178","7,658","135,094","72,533","62,561",908,834,89.11,91.68,86.30
03,PUNJAB,7,07,Khanna (M Cl),"128,130","67,811","60,319","13,218","7,232","5,986","97,022","53,108","43,914",890,828,84.43,87.67,80.82
03,PUNJAB,7,07,Ludhiana (M Corp.),"1,613,878","874,773","739,105","173,021","92,492","80,529","1,230,218","691,161","539,057",845,871,85.38,88.35,81.85
03,PUNJAB,71,08,Moga (M Cl),"150,432","79,760","70,672","15,502","8,348","7,154","110,764","60,698","50,066",886,857,82.09,85.00,78.82
03,PUNJAB,7,09,Firozpur (M Cl),"110,091","58,401","51,690","11,516","6,262","5,254","78,615","43,468","35,147",885,839,79.75,83.37,75.69
03,PUNJAB,7,09,Abohar (M Cl),"145,238","76,840","68,398","15,870","8,587","7,283","103,319","58,347","44,972",890,848,79.86,85.49,73.59
03,PUNJAB,7,10,Muktsar (M Cl),"117,085","62,005","55,080","13,639","7,448","6,191","79,979","45,007","34,972",888,831,77.31,82.50,71.53
03,PUNJAB,7,12,Bathinda (M Corp.),"285,813","151,782","134,031","30,713","16,472","14,241","211,318","118,888","92,430",883,865,82.84,87.86,77.16
03,PUNJAB,71,14,Patiala (M Corp.),"405,164","215,606","189,558","39,155","21,058","18,097","316,093","174,291","141,802",879,859,86.36,89.59,82.70
03,PUNJAB,71,15,Amritsar (M Corp.),"1,132,761","602,754","530,007","109,540","60,056","49,484","872,527","478,062","394,465",879,824,85.27,88.09,82.09
03,PUNJAB,71,18,S.A.S. Nagar (M Cl),"146,104","76,441","69,663","13,155","6,975","6,180","123,930","66,100","57,830",911,886,93.22,95.15,91.10
03,PUNJAB,7,19,Malerkotla (M Cl),"135,330","71,401","63,929","16,315","8,365","7,950","83,606","47,164","36,442",895,950,70.25,74.82,65.10
03,PUNJAB,7,20,Barnala (M Cl),"116,454","62,302","54,152","12,984","7,096","5,888","82,347","46,100","36,247",869,830,79.59,83.51,75.10
04,CHANDIGARH,71,01,Chandigarh (M Corp.),"960,787","525,226","435,561","104,192","56,020","48,172","743,254","426,071","317,183",829,860,86.77,90.81,81.88
05,UTTARAKHAND,71,05,Dehradun (M Corp.),"578,420","303,411","275,009","59,180","31,600","27,580","463,791","251,832","211,959",906,873,89.32,92.65,85.66
05,UTTARAKHAND,71,11,Haldwani-cum-Kathgodam (NPP),"156,060","81,918","74,142","19,783","10,397","9,386","111,410","60,678","50,732",905,903,81.75,84.84,78.34
05,UTTARAKHAND,7,12,Kashipur (NPP),"121,610","63,625","57,985","14,381","7,792","6,589","89,433","49,030","40,403",911,846,83.40,87.82,78.61
05,UTTARAKHAND,71,12,Rudrapur (NPP),"140,884","74,276","66,608","19,727","10,342","9,385","88,700","51,407","37,293",897,907,73.21,80.41,65.17
05,UTTARAKHAND,71,13,Roorkee (NPP),"118,188","63,508","54,680","11,596","6,337","5,259","96,674","53,928","42,746",861,830,90.70,94.33,86.49
05,UTTARAKHAND,71,13,Hardwar (NPP),"225,235","120,201","105,034","25,950","13,853","12,097","169,371","94,508","74,863",874,873,84.99,88.87,80.55
06,HARYANA,7,01,Panchkula (M Cl) (incl.spl),"210,175","111,622","98,553","22,111","12,024","10,087","165,235","90,938","74,297",883,839,87.86,91.31,83.98
06,HARYANA,71,02,Ambala Sadar (M CL),"104,268","54,241","50,027","9,646","5,239","4,407","83,236","43,444","39,792",922,841,87.97,88.66,87.22
06,HARYANA,7,02,Ambala (M Cl),"196,216","103,533","92,683","19,645","10,713","8,932","155,780","85,004","70,776",895,834,88.23,91.58,84.51
06,HARYANA,71,03,Yamunanagar (M Cl),"216,628","115,404","101,224","22,905","12,556","10,349","166,419","92,164","74,255",877,824,85.91,89.61,81.71
06,HARYANA,71,03,Jagadhri (M Cl),"124,915","67,752","57,163","13,635","7,484","6,151","95,469","53,660","41,809",844,822,85.79,89.04,81.96
06,HARYANA,7,04,Thanesar (M Cl),"154,962","83,655","71,307","15,594","8,401","7,193","119,482","67,646","51,836",852,856,85.73,89.89,80.85
06,HARYANA,7,05,Kaithal (M Cl),"144,633","76,657","67,976","16,690","9,156","7,534","103,329","59,162","44,167",887,823,80.76,87.65,73.07
06,HARYANA,71,06,Karnal (M Cl),"286,974","151,668","135,306","31,291","17,319","13,972","220,711","121,652","99,059",892,807,86.32,90.55,81.64
06,HARYANA,71,07,Panipat (M Cl),"294,150","157,302","136,848","35,477","19,246","16,231","218,023","122,629","95,394",870,843,84.29,88.83,79.09
06,HARYANA,71,08,Sonipat (M Cl),"277,053","147,933","129,120","30,809","17,232","13,577","215,609","121,821","93,788",873,788,87.56,93.21,81.17
06,HARYANA,7,09,Jind (M Cl),"166,225","88,561","77,664","18,825","10,280","8,545","123,267","71,129","52,138",877,831,83.63,90.86,75.43
06,HARYANA,7,11,Sirsa (M Cl),"183,282","96,806","86,476","20,161","11,161","9,000","135,435","75,796","59,639",893,806,83.03,88.50,76.98
06,HARYANA,71,12,Hisar (M Cl),"301,249","163,338","137,911","33,514","18,015","15,499","216,978","125,172","91,806",844,860,81.04,86.13,75.00
06,HARYANA,7,13,Bhiwani (M Cl),"197,662","105,372","92,290","22,507","12,444","10,063","147,807","84,028","63,779",876,809,84.39,90.42,77.56
06,HARYANA,7,14,Rohtak (M Cl),"373,133","197,754","175,379","40,715","22,711","18,004","279,509","155,679","123,830",887,793,84.08,88.94,78.68
06,HARYANA,7,15,Bahadurgarh (M Cl),"170,426","91,736","78,690","20,374","11,420","8,954","132,108","75,714","56,394",858,784,88.04,94.27,80.87
06,HARYANA,7,17,Rewari (M Cl),"140,864","74,689","66,175","15,986","8,958","7,028","110,205","61,933","48,272",886,785,88.25,94.22,81.61
06,HARYANA,71,18,Gurgaon (M Corp.),"876,824","475,612","401,212","108,623","58,842","49,781","662,969","373,164","289,805",844,846,86.30,89.54,82.46
06,HARYANA,7,20,Faridabad (M Corp.),"1,404,653","750,446","654,207","176,773","95,808","80,965","1,042,168","592,024","450,144",872,845,84.88,90.44,78.53
06,HARYANA,71,21,Palwal (M Cl),"127,931","67,887","60,044","15,662","8,614","7,048","90,937","52,028","38,909",884,818,81.00,87.78,73.42
07,NCT OF DELHI,71,99,DMC (U) (M Corp.),"11,007,835","5,871,362","5,136,473","1,209,275","647,938","561,337","8,583,105","4,776,490","3,806,615",875,866,87.60,91.44,83.20
07,NCT OF DELHI,71,99,NDMC (M Cl) Total,"249,998","136,438","113,560","20,857","11,158","9,699","208,352","118,453","89,899",832,869,90.93,94.55,86.56
07,NCT OF DELHI,81,01,Kirari Suleman Nagar (CT),"282,598","152,135","130,463","40,720","21,149","19,571","191,624","113,079","78,545",858,925,79.22,86.33,70.83
07,NCT OF DELHI,81,01,Sultan Pur Majra (CT),"181,624","95,816","85,808","24,254","12,842","11,412","125,557","72,458","53,099",896,889,79.78,87.33,71.37
07,NCT OF DELHI,81,01,Bhalswa Jahangir Pur (CT),"197,150","106,271","90,879","27,653","14,678","12,975","130,417","76,114","54,303",855,884,76.94,83.10,69.71
07,NCT OF DELHI,81,02,Burari (CT),"145,584","77,767","67,817","18,134","9,809","8,325","113,188","64,125","49,063",872,849,88.81,94.36,82.47
07,NCT OF DELHI,81,03,Karawal Nagar (CT),"224,666","120,284","104,382","30,985","16,871","14,114","163,801","94,870","68,931",868,837,84.57,91.74,76.36
07,NCT OF DELHI,81,03,Mustafabad (CT),"127,012","66,754","60,258","19,370","10,176","9,194","81,915","47,714","34,201",903,903,76.10,84.33,66.98
07,NCT OF DELHI,81,03,Gokal Pur (CT),"121,938","64,935","57,003","15,299","8,282","7,017","90,904","51,785","39,119",878,847,85.24,91.41,78.26
07,NCT OF DELHI,81,03,Mandoli (CT),"120,345","64,123","56,222","16,212","8,547","7,665","84,053","48,535","35,518",877,897,80.72,87.33,73.15
07,NCT OF DELHI,81,04,Dallo Pura (CT),"154,955","81,425","73,530","18,832","9,961","8,871","111,514","62,799","48,715",903,891,81.92,87.88,75.34
07,NCT OF DELHI,81,07,Hastsal (CT),"177,033","95,068","81,965","23,920","12,775","11,145","129,653","75,259","54,394",862,872,84.68,91.45,76.81
07,NCT OF DELHI,81,07,Nangloi Jat (CT),"205,497","110,068","95,429","28,274","15,215","13,059","147,805","85,448","62,357",867,858,83.40,90.08,75.70
07,NCT OF DELHI,71,08,Delhi Cantonment (CB),"116,352","67,703","48,649","13,214","7,258","5,956","93,971","57,144","36,827",719,821,91.11,94.54,86.26
07,NCT OF DELHI,81,09,Deoli (CT),"169,410","91,173","78,237","22,526","12,001","10,525","123,167","72,062","51,105",858,877,83.85,91.02,75.47
08,RAJASTHAN,71,01,Ganganagar (M Cl),"224,773","120,929","103,844","24,768","13,651","11,117","166,449","95,374","71,075",859,814,83.22,88.90,76.65
08,RAJASTHAN,7,02,Hanumangarh (M Cl),"151,104","79,817","71,287","17,947","9,709","8,238","104,285","59,883","44,402",893,848,78.32,85.42,70.42
08,RAJASTHAN,7,03,Bikaner (M Corp.),"647,804","340,894","306,910","82,264","43,280","38,984","451,663","259,367","192,296",900,901,79.86,87.15,71.77
08,RAJASTHAN,71,04,Churu (M Cl),"119,846","61,771","58,075","16,334","8,513","7,821","77,751","46,055","31,696",940,919,75.11,86.48,63.07
08,RAJASTHAN,7,04,Sujangarh (M),"101,528","52,078","49,450","14,723","7,775","6,948","64,716","37,914","26,802",950,894,74.55,85.58,63.06
08,RAJASTHAN,7,05,Jhunjhunun (M Cl),"118,966","61,906","57,060","16,563","8,887","7,676","76,183","44,962","31,221",922,864,74.40,84.80,63.22
08,RAJASTHAN,71,06,Alwar (M Cl),"315,310","166,900","148,410","34,576","18,862","15,714","243,634","138,737","104,897",889,833,86.78,93.72,79.05
08,RAJASTHAN,7,06,Bhiwadi (M),"104,883","59,757","45,126","16,884","9,080","7,804","70,987","44,697","26,290",755,859,80.67,88.20,70.44
