,state_code,state_name,level,dist_code,name_of_city,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,location
0,1,JAMMU & KASHMIR,71,10,Srinagar ,1192792,631916,560876,148178,79293,68885,741441,428915,312526,888,869,70.98,77.61,63.52,"34.0836708,74.7972825"
1,1,JAMMU & KASHMIR,71,14,Anantnag ,108505,56030,52475,18056,9633,8423,71408,39591,31817,937,874,78.95,85.33,72.23,"33.7311255,75.1487007"
2,1,JAMMU & KASHMIR,71,21,Jammu ,503690,265346,238344,42655,23317,19338,413366,225410,187956,898,829,89.66,93.13,85.82,"32.7266016,74.8570259"
3,2,HIMACHAL PRADESH,71,11,Shimla ,169758,93364,76394,13646,7221,6425,147799,82486,65313,818,890,94.67,95.75,93.35,"31.1048145,77.1734033"
4,3,PUNJAB,71,1,Pathankot ,148357,77833,70524,13496,7488,6008,119483,64673,54810,906,802,88.6,91.94,84.96,"32.2643375,75.6421121"
5,3,PUNJAB,71,1,Batala ,156400,82459,73941,14698,8028,6670,121138,66101,55037,897,831,85.49,88.81,81.81,"31.8183238,75.2070644"
7,3,PUNJAB,71,3,Jalandhar ,862196,458015,404181,83669,44850,38819,665625,363500,302125,882,866,85.5,87.98,82.69,"31.3260152,75.5761829"
8,3,PUNJAB,7,4,Hoshiarpur ,168443,88290,80153,16836,9178,7658,135094,72533,62561,908,834,89.11,91.68,86.3,"31.5143178,75.911483"
9,3,PUNJAB,7,7,Khanna ,128130,67811,60319,13218,7232,5986,97022,53108,43914,890,828,84.43,87.67,80.82,"30.697852,76.2112286"
10,3,PUNJAB,7,7,Ludhiana ,1613878,874773,739105,173021,92492,80529,1230218,691161,539057,845,871,85.38,88.35,81.85,"30.900965,75.8572758"
11,3,PUNJAB,71,8,Moga ,150432,79760,70672,15502,8348,7154,110764,60698,50066,886,857,82.09,85,78.82,"30.8164603,75.1717093"
12,3,PUNJAB,7,9,Firozpur ,110091,58401,51690,11516,6262,5254,78615,43468,35147,885,839,79.75,83.37,75.69,"30.9331348,74.6224755"
13,3,PUNJAB,7,9,Abohar ,145238,76840,68398,15870,8587,7283,103319,58347,44972,890,848,79.86,85.49,73.59,"30.1452928,74.1993043"
14,3,PUNJAB,7,10,Muktsar ,117085,62005,55080,13639,7448,6191,79979,45007,34972,888,831,77.31,82.5,71.53,"30.4766391,74.511172"
15,3,PUNJAB,7,12,Bathinda ,285813,151782,134031,30713,16472,14241,211318,118888,92430,883,865,82.84,87.86,77.16,"30.210994,74.9454745"
16,3,PUNJAB,71,14,Patiala ,405164,215606,189558,39155,21058,18097,316093,174291,141802,879,859,86.36,89.59,82.7,"30.3397809,76.3868797"
17,3,PUNJAB,71,15,Amritsar ,1132761,602754,530007,109540,60056,49484,872527,478062,394465,879,824,85.27,88.09,82.09,"31.6339793,74.8722642"
18,3,PUNJAB,71,18,S.A.S. Nagar ,146104,76441,69663,13155,6975,6180,123930,66100,57830,911,886,93.22,95.15,91.1,"30.6496486,76.7567368"
19,3,PUNJAB,7,19,Malerkotla ,135330,71401,63929,16315,8365,7950,83606,47164,36442,895,950,70.25,74.82,65.1,"30.5232076,75.8882508"
20,3,PUNJAB,7,20,Barnala ,116454,62302,54152,12984,7096,5888,82347,46100,36247,869,830,79.59,83.51,75.1,"30.3819446,75.5467979"
21,4,CHANDIGARH,71,1,Chandigarh ,960787,525226,435561,104192,56020,48172,743254,426071,317183,829,860,86.77,90.81,81.88,"30.7333148,76.7794179"
22,5,UTTARAKHAND,71,5,Dehradun ,578420,303411,275009,59180,31600,27580,463791,251832,211959,906,873,89.32,92.65,85.66,"30.3164945,78.0321918"
23,5,UTTARAKHAND,71,11,Haldwani-cum-Kathgodam ,156060,81918,74142,19783,10397,9386,111410,60678,50732,905,903,81.75,84.84,78.34,"29.2182644,79.5129767"
24,5,UTTARAKHAND,7,12,Kashipur ,121610,63625,57985,14381,7792,6589,89433,49030,40403,911,846,83.4,87.82,78.61,"29.2104232,78.9618845"
25,5,UTTARAKHAND,71,12,Rudrapur ,140884,74276,66608,19727,10342,9385,88700,51407,37293,897,907,73.21,80.41,65.17,"28.9875082,79.4141214"
26,5,UTTARAKHAND,71,13,Roorkee ,118188,63508,54680,11596,6337,5259,96674,53928,42746,861,830,90.7,94.33,86.49,"29.8542626,77.8880002"
27,5,UTTARAKHAND,71,13,Hardwar ,225235,120201,105034,25950,13853,12097,169371,94508,74863,874,873,84.99,88.87,80.55,"29.9456906,78.1642478"
28,6,HARYANA,7,1,Panchkula ,210175,111622,98553,22111,12024,10087,165235,90938,74297,883,839,87.86,91.31,83.98,"30.6942091,76.860565"
29,6,HARYANA,71,2,Ambala Sadar ,104268,54241,50027,9646,5239,4407,83236,43444,39792,922,841,87.97,88.66,87.22,"30.3248708,76.8432663"
30,6,HARYANA,7,2,Ambala ,196216,103533,92683,19645,10713,8932,155780,85004,70776,895,834,88.23,91.58,84.51,"30.3781788,76.7766974"
31,6,HARYANA,71,3,Yamunanagar ,216628,115404,101224,22905,12556,10349,166419,92164,74255,877,824,85.91,89.61,81.71,"30.1290485,77.2673901"
32,6,HARYANA,71,3,Jagadhri ,124915,67752,57163,13635,7484,6151,95469,53660,41809,844,822,85.79,89.04,81.96,"30.1680858,77.2969204"
33,6,HARYANA,7,4,Thanesar ,154962,83655,71307,15594,8401,7193,119482,67646,51836,852,856,85.73,89.89,80.85,"29.9696148,76.8197522"
34,6,HARYANA,7,5,Kaithal ,144633,76657,67976,16690,9156,7534,103329,59162,44167,887,823,80.76,87.65,73.07,"29.7856734,76.3984537"
35,6,HARYANA,71,6,Karnal ,286974,151668,135306,31291,17319,13972,220711,121652,99059,892,807,86.32,90.55,81.64,"29.6856929,76.9904825"
36,6,HARYANA,71,7,Panipat ,294150,157302,136848,35477,19246,16231,218023,122629,95394,870,843,84.29,88.83,79.09,"29.3909464,76.9635023"
