ACADEMIC_YEAR,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,CURRENT_INSTITUTE_ADDRESS,PROGRAMME,LEVEL_CATEGORY,INSTI_REGION,INSTI_STATE,INSTITUTE_DISTRICT,INSTI_CITY,INST_TYPE,WOMEN_INST_FLAG,MINORITY_FLAG,sno
2012-2013,1-693686321,LAXMI DEVI INSTITUTE OF MANAGEMENT AND TECHNOLOGY,"TIJARA ROAD, VILLAGE CHIRKHANA",MANAGEMENT,PG,North-West,Rajasthan,ALWAR,ALWAR,Unaided - Private,N,"N",1
2012-2013,1-803351172,VIVEKAVARDHANI INSTITUTE OF MANAGEMENT,"JNANODAYA EDUCATIONAL ACADEMY
C/O M.V.CHOWDARY,
LAXMIDEVIPALLY,
KOTHAGUDEM",MANAGEMENT,PG,South-Central,Telangana,KHAMMAM,KOTHAGUDEM,Unaided - Private,N,"N",2
2012-2013,1-716069653,VEERMATA JIJAU WOMEN'S ENGGINEERING COLLEGE,"GUTT NO-59/P
SHARNAPUR,
AURANGABAD",ENGINEERING AND TECHNOLOGY,UG,Western,Maharashtra,AURANGABAD,AURANGABAD,Unaided - Private,Y,"N",3
2012-2013,1-715997132,FATHIMA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"RAMARAJUPALLI,
PULIVENDALA ROAD,",MANAGEMENT,PG,South-Central,Andhra Pradesh,YSR DISTRICT,KADAPA,Unaided - Private,N,"Y",4
2012-2013,1-715997132,FATHIMA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"RAMARAJUPALLI,
PULIVENDALA ROAD,",ENGINEERING AND TECHNOLOGY,UG,South-Central,Andhra Pradesh,YSR DISTRICT,KADAPA,Unaided - Private,N,"Y",5
2012-2013,1-697972571,SRI RAGHAVENDRA INSTITUTE OF SCIENCES ( MCA COURSES ),"UNDI ROAD
NARASIMHAPURAM
BHIMAVARAM
PIN: 534202
WEST GODAVARI DISTRICT
ANDHRA PRADESH",MANAGEMENT,PG,South-Central,Andhra Pradesh,WEST GODAVARI,BHIMAVARAM,Unaided - Private,N,"N",6
2012-2013,1-697972571,SRI RAGHAVENDRA INSTITUTE OF SCIENCES ( MCA COURSES ),"UNDI ROAD
NARASIMHAPURAM
BHIMAVARAM
PIN: 534202
WEST GODAVARI DISTRICT
ANDHRA PRADESH",MCA,PG,South-Central,Andhra Pradesh,WEST GODAVARI,BHIMAVARAM,Unaided - Private,N,"N",7
2012-2013,1-755513185,MOTHER TERESA P.G. COLLEGE,"NARAPALLY MAIN ROAD,
CHOWDARYGUDA(V),
GHATKESAR(M),
RANGA REDDY(D)
ANDHRA PRADESH
500088",MCA,PG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,"N",8
2012-2013,1-798961932,DVR PG INSTITUTE OF MANAGEMENT STUDIES,"KASHIPUR (VILLAGE)
SANGAREDDY MANDAL
MEDAK DIST",MANAGEMENT,PG,South-Central,Telangana,MEDAK,KASHIPUR,Unaided - Private,N,"N",9
2012-2013,1-802283064,MNR COLLEGE OF ARCHITECTURE,"REDDY COLONY, CHANDANAGAR, ASHOKNAGAR, R.C.PURAM",ARCHITECTURE AND TOWN PLANNING,UG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,"N",10
2012-2013,1-804786312,ST. MARY'S COLLEGE FOR PG COURSES (MCA),"SARPAVARAM,KAKINADA",MCA,PG,South-Central,Andhra Pradesh,EAST GODAVARI,KAKINADA,Unaided - Private,N,"Y",11
2012-2013,1-804786312,ST. MARY'S COLLEGE FOR PG COURSES (MCA),"SARPAVARAM,KAKINADA",MANAGEMENT,PG,South-Central,Andhra Pradesh,EAST GODAVARI,KAKINADA,Unaided - Private,N,"Y",12
2012-2013,1-687459721,AITAM SCHOOL OF COMPUTER SCIENCES AND MANAGEMENT,"K.KOTTURU (VILL)
TEKKALI - 532 201
SRIKAKULAM (DIST)
ANDHRA PRADESH",MCA,PG,South-Central,Andhra Pradesh,SRIKAKULAM,TEKKALI,Unaided - Private,N,"N",13
2012-2013,1-687459721,AITAM SCHOOL OF COMPUTER SCIENCES AND MANAGEMENT,"K.KOTTURU (VILL)
TEKKALI - 532 201
SRIKAKULAM (DIST)
ANDHRA PRADESH",MANAGEMENT,PG,South-Central,Andhra Pradesh,SRIKAKULAM,TEKKALI,Unaided - Private,N,"N",14
2012-2013,1-688588771,KOTTAM INSTITUTE OF ADVANCED STUDIES,"KONDAIR (VIL),
ITIKYAL (M),
MAHABUBNAGAR DT.
ANDHRA PRADESH
509125",MANAGEMENT,PG,South-Central,Telangana,MAHABUBNAGAR,KONDAIR,Unaided - Private,N,"N",15
2012-2013,1-688588771,KOTTAM INSTITUTE OF ADVANCED STUDIES,"KONDAIR (VIL),
ITIKYAL (M),
MAHABUBNAGAR DT.
ANDHRA PRADESH
509125",MCA,PG,South-Central,Telangana,MAHABUBNAGAR,KONDAIR,Unaided - Private,N,"N",16
2012-2013,1-756653902,KOTTAM INSTITUTE OF PG STUDIES,"KOTTAM INSTITUTE OF PG STUDIES
KONDAIR VILLAGE
ITIKYALA MANDAL
MAHABOOBNAGAR (DIST)
ANDHRAPRADESH
509125",MCA,PG,South-Central,Telangana,MAHABUBNAGAR,MAHABUBNAGAR,Unaided - Private,N,"N",17
2012-2013,1-756653902,KOTTAM INSTITUTE OF PG STUDIES,"KOTTAM INSTITUTE OF PG STUDIES
KONDAIR VILLAGE
ITIKYALA MANDAL
MAHABOOBNAGAR (DIST)
ANDHRAPRADESH
509125",MANAGEMENT,PG,South-Central,Telangana,MAHABUBNAGAR,MAHABUBNAGAR,Unaided - Private,N,"N",18
