,name,Persons,Males,Females
0,Srinagar ,135783,75825,59958
29,Anantnag ,12666,7291,5375
58,Jammu ,121564,65587,55977
87,Shimla ,43353,23822,19531
116,Pathankot ,24038,11974,12064
145,Batala ,16436,8120,8316
174,Jalandhar ,128924,63657,65267
203,Hoshiarpur ,26629,13069,13560
232,Khanna ,16767,8279,8488
261,Ludhiana ,211267,104104,107163
290,Moga ,17762,8356,9406
319,Firozpur ,14939,7455,7484
348,Abohar ,16287,8612,7675
377,Muktsar ,11785,5931,5854
406,Bathinda ,43428,22471,20957
435,Patiala ,86697,43389,43308
464,Amritsar ,140359,69241,71118
493,S.A.S. Nagar ,57323,30110,27213
522,Malerkotla ,9767,5227,4540
551,Barnala ,12665,6213,6452
580,Chandigarh ,189312,101491,87821
609,Dehradun ,136036,70607,65429
638,Haldwani-cum-Kathgodam ,34329,17783,16546
667,Kashipur ,20036,10750,9286
696,Rudrapur ,14678,8208,6470
725,Roorkee ,30594,16630,13964
754,Hardwar ,38835,20223,18612
783,Panchkula ,62655,32821,29834
812,Ambala ,34943,17809,17134
841,Ambala Sadar ,20618,10689,9929
870,Jagadhri ,18738,9805,8933
899,Yamunanagar ,29803,14349,15454
928,Thanesar ,32979,18192,14787
957,Kaithal ,18095,10125,7970
986,Karnal ,52911,27708,25203
1015,Panipat ,37873,19231,18642
1044,Sonipat ,46858,25676,21182
1073,Jind ,21508,12601,8907
1102,Sirsa ,24453,13473,10980
1131,Hisar ,49148,27629,21519
1160,Bhiwani ,28123,17068,11055
1189,Rohtak ,65881,35890,29991
1218,Bahadurgarh ,22521,13025,9496
1247,Rewari ,22539,12960,9579
1276,Gurgaon ,233817,126456,107361
1305,Faridabad ,219974,123138,96836
1334,Palwal ,15837,9276,6561
1363,Kirari Suleman Nagar ,10621,7340,3281
1392,Sultan Pur Majra ,7390,4719,2671
1421,Bhalswa Jahangir Pur ,8348,5164,3184
1450,Burari ,17914,11136,6778
1479,Karawal Nagar ,14478,9446,5032
1508,Mustafabad ,4462,2950,1512
1537,Gokal Pur ,15993,9445,6548
1566,Mandoli ,7274,4596,2678
1595,Dallo Pura ,17134,9918,7216
1624,Hastsal ,12901,8095,4806
1653,Nangloi Jat ,12692,7779,4913
1682,Deoli ,13046,8694,4352
1711,DMC ,2221137,1210040,1011097
1740,NDMC ,63573,35345,28228
1769,Delhi Cantt ,17317,9653,7664
1798,Ganganagar ,34347,19007,15340
1827,Hanumangarh ,16870,9978,6892
1856,Bikaner ,73369,44965,28404
