LEVEL,UG,,
,,,
Sum of COUNT,Column Labels,,
Row Labels,2016-2017,2017-2018,Grand Total
Andaman and Nicobar Islands,42,29,71
ENGINEERING AND TECHNOLOGY,40,29,69
PHARMACY,2,,2
Andhra Pradesh,63789,51918,115707
APPLIED ARTS AND CRAFTS,79,73,152
ARCHITECTURE,15,42,57
ARCHITECTURE AND TOWN PLANNING,84,,84
ENGINEERING AND TECHNOLOGY,59340,48013,107353
HOTEL MANAGEMENT AND CATERING,12,,12
PHARMACY,4259,3790,8049
Arunachal Pradesh,32,126,158
ARCHITECTURE AND TOWN PLANNING,1,,1
ENGINEERING AND TECHNOLOGY,25,126,151
PHARMACY,6,,6
Assam,1422,1401,2823
ARCHITECTURE,7,5,12
ARCHITECTURE AND TOWN PLANNING,17,19,36
ENGINEERING AND TECHNOLOGY,1348,1334,2682
HOTEL MANAGEMENT AND CATERING,12,8,20
PHARMACY,38,35,73
Bihar,3122,1810,4932
APPLIED ARTS AND CRAFTS,2,1,3
ARCHITECTURE,4,,4
ARCHITECTURE AND TOWN PLANNING,9,,9
ENGINEERING AND TECHNOLOGY,3008,1749,4757
HOTEL MANAGEMENT AND CATERING,17,,17
PHARMACY,82,60,142
Chandigarh,928,177,1105
APPLIED ARTS AND CRAFTS,7,6,13
ARCHITECTURE,17,,17
ARCHITECTURE AND TOWN PLANNING,49,,49
ENGINEERING AND TECHNOLOGY,800,171,971
HOTEL MANAGEMENT AND CATERING,11,,11
PHARMACY,44,,44
Chhattisgarh,6130,5841,11971
APPLIED ARTS AND CRAFTS,15,13,28
ENGINEERING AND TECHNOLOGY,5890,5558,11448
PHARMACY,225,270,495
Dadra and Nagar Haveli,22,14,36
ARCHITECTURE,1,,1
ARCHITECTURE AND TOWN PLANNING,1,,1
ENGINEERING AND TECHNOLOGY,10,,10
HOTEL MANAGEMENT AND CATERING,1,,1
PHARMACY,9,14,23
Daman and Diu,1,,1
ENGINEERING AND TECHNOLOGY,1,,1
Delhi,4227,2095,6322
APPLIED ARTS AND CRAFTS,17,5,22
ARCHITECTURE,8,39,47
ARCHITECTURE AND TOWN PLANNING,181,59,240
ENGINEERING AND TECHNOLOGY,3801,1937,5738
HOTEL MANAGEMENT AND CATERING,35,27,62
PHARMACY,185,28,213
Goa,373,383,756
APPLIED ARTS AND CRAFTS,11,18,29
ARCHITECTURE,1,,1
ENGINEERING AND TECHNOLOGY,328,330,658
HOTEL MANAGEMENT AND CATERING,2,,2
PHARMACY,31,35,66
Gujarat,15554,16497,32051
APPLIED ARTS AND CRAFTS,1,2,3
ARCHITECTURE,39,139,178
ARCHITECTURE AND TOWN PLANNING,103,99,202
ENGINEERING AND TECHNOLOGY,14210,14855,29065
HOTEL MANAGEMENT AND CATERING,29,31,60
PHARMACY,1172,1368,2540
TOWN PLANNING,,3,3
Haryana,14760,14541,29301
APPLIED ARTS AND CRAFTS,55,40,95
ARCHITECTURE,15,32,47
ARCHITECTURE AND TOWN PLANNING,95,70,165
ENGINEERING AND TECHNOLOGY,13917,13719,27636
HOTEL MANAGEMENT AND CATERING,84,60,144
PHARMACY,594,620,1214
Himachal Pradesh,2147,2027,4174
APPLIED ARTS AND CRAFTS,5,4,9
ARCHITECTURE,2,,2
ARCHITECTURE AND TOWN PLANNING,7,,7
ENGINEERING AND TECHNOLOGY,1924,1730,3654
HOTEL MANAGEMENT AND CATERING,15,,15
PHARMACY,194,293,487
Jammu and Kashmir,1057,829,1886
APPLIED ARTS AND CRAFTS,3,,3
ARCHITECTURE AND TOWN PLANNING,2,,2
ENGINEERING AND TECHNOLOGY,1049,818,1867
HOTEL MANAGEMENT AND CATERING,1,1,2
PHARMACY,2,10,12
Jharkhand,1519,1550,3069
APPLIED ARTS AND CRAFTS,1,1,2
ARCHITECTURE,,2,2
ARCHITECTURE AND TOWN PLANNING,14,8,22
ENGINEERING AND TECHNOLOGY,1454,1494,2948
HOTEL MANAGEMENT AND CATERING,15,26,41
PHARMACY,35,19,54
Karnataka,28120,28401,56521
APPLIED ARTS AND CRAFTS,34,43,77
ARCHITECTURE,91,160,251
ARCHITECTURE AND TOWN PLANNING,231,153,384
ENGINEERING AND TECHNOLOGY,26437,26467,52904
HOTEL MANAGEMENT AND CATERING,247,294,541
PHARMACY,1080,1284,2364
Kerala,16202,14827,31029
APPLIED ARTS AND CRAFTS,52,69,121
ARCHITECTURE,19,72,91
ARCHITECTURE AND TOWN PLANNING,85,64,149
ENGINEERING AND TECHNOLOGY,15266,13778,29044
HOTEL MANAGEMENT AND CATERING,126,100,226
PHARMACY,654,744,1398
Lakshadweep,1,,1
ENGINEERING AND TECHNOLOGY,1,,1
Madhya Pradesh,25870,25549,51419
