institution_type,level,program,state,minority,women,faculties,number_of_institutes,intake,enrollment,passed,placed
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,1,4103.0,37,15630,5581,4737,1781
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,1,0,4476.0,12,5430,1979,827,303
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,1,1,362.0,2,840,342,153,65
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Assam,0,0,277.0,7,2700,1738,821,360
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Bihar,0,0,559.0,16,6000,3262,1509,511
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Bihar,1,0,283.0,5,1680,1134,748,77
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,3852.0,45,26130,11876,8878,3688
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,1,0,87.0,1,600,326,332,266
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Delhi,0,0,937.0,9,5460,4453,3471,2362
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Goa,0,0,84.0,4,840,833,678,345
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Goa,1,0,8.0,1,240,240,255,109
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,4332.0,101,56714,40431,22563,6856
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Gujarat,0,1,94.0,2,900,534,623,136
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Haryana,0,0,9485.0,151,66370,27072,18815,9944
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Haryana,0,1,123.0,4,1230,118,75,6
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Haryana,1,0,368.0,7,2910,1299,1094,1232
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Himachal Pradesh,0,0,991.0,21,9840,2896,2312,961
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Himachal Pradesh,0,1,45.0,1,480,161,0,0
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Jammu and Kashmir,0,0,322.0,5,2220,1617,1139,418
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Jammu and Kashmir,1,0,61.0,1,360,360,341,88
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Jharkhand,0,0,480.0,11,4650,3160,1749,439
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,12875.0,169,90053,69427,46758,23070
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Karnataka,0,1,200.0,4,1440,806,561,321
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Karnataka,1,0,1822.0,22,12210,9665,7072,3304
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,1,4103.0,37,15630,5581,4737,1781
